unit_id	scientificName	kalamari_taxid	species_taxid	accession_set	parent_assembly	eligibility	regime	resolver	species_name	superkingdom	total_length_bp	n_replicons	flags	note
Burkholderia_pseudomallei~GCF_000011545.1	Burkholderia_pseudomallei	28450	28450	BX571965,BX571966	GCF_000011545.1	eligible			Burkholderia pseudomallei	Bacteria	7247547	2		
Campylobacter_avium~GCF_002238335.1	Campylobacter_avium	522484	522485	CP022347	GCF_002238335.1	eligible			Campylobacter avium	Bacteria	1738633	1		
Campylobacter_coli~GCF_003030205.1	Campylobacter_coli	195	195	CP028187	GCF_003030205.1	eligible			Campylobacter coli	Bacteria	1894971	1		
Campylobacter_concisus~GCF_001298465.1	Campylobacter_concisus	199	199	CP012541	GCF_001298465.1	eligible			Campylobacter concisus	Bacteria	1840041	1		
Campylobacter_cuniculorum~GCF_002104335.1	Campylobacter_cuniculorum	374106	374106	CP020867	GCF_002104335.1	eligible			Campylobacter cuniculorum	Bacteria	1931011	1		
Campylobacter_fetus~GCF_000495505.1	Campylobacter_fetus	196	196	CP006833	GCF_000495505.1	eligible			Campylobacter fetus	Bacteria	1775480	1		
Campylobacter_gracilis~GCF_001190745.1	Campylobacter_gracilis	824	824	CP012196	GCF_001190745.1	eligible			Campylobacter gracilis	Bacteria	2281652	1		
Campylobacter_helveticus~GCF_002080395.1	Campylobacter_helveticus	28898	28898	CP020478	GCF_002080395.1	eligible			Campylobacter helveticus	Bacteria	1758726	1		
Campylobacter_hyointestinalis_hyointestinalis~GCF_001643955.1	Campylobacter_hyointestinalis_hyointestinalis;Campylobacter_hyointestinalis_lawsonii	91352;91353	198	CP015575	GCF_001643955.1	eligible			Campylobacter hyointestinalis	Bacteria	1753385	1	shared_accession;label_conflict	
Campylobacter_insulaenigrae~GCF_000816185.1	Campylobacter_insulaenigrae	260714	260714	CP007770	GCF_000816185.1	eligible			Campylobacter insulaenigrae	Bacteria	1465081	1		
Campylobacter_jejuni_jejuni~GCF_000009085.1	Campylobacter_jejuni_jejuni	32022	197	AL111168	GCF_000009085.1	eligible			Campylobacter jejuni	Bacteria	1641481	1		
Campylobacter_lanienae~GCF_002139935.1	Campylobacter_lanienae	75658	75658	CP015578	GCF_002139935.1	eligible			Campylobacter lanienae	Bacteria	1594554	1		
Campylobacter_lari~GCF_000019205.1	Campylobacter_lari	201	201	CP000932	GCF_000019205.1	eligible			Campylobacter lari	Bacteria	1525460	1		
Campylobacter_peloridis~GCF_000816785.1	Campylobacter_peloridis	488546	488546	CP007766	GCF_000816785.1	eligible			Campylobacter peloridis	Bacteria	1711369	1		
Campylobacter_sputorum~GCF_002220735.1	Campylobacter_sputorum	206	206	CP019683	GCF_002220735.1	eligible			Campylobacter sputorum	Bacteria	1757292	1		
Campylobacter_subantarcticus~GCF_000816265.1	Campylobacter_subantarcticus	497724	497724	CP007772	GCF_000816265.1	eligible			Campylobacter subantarcticus	Bacteria	1782536	1		
Campylobacter_ureolyticus~GCF_001190755.1	Campylobacter_ureolyticus	827	827	CP012195	GCF_001190755.1	eligible			Campylobacter ureolyticus	Bacteria	1641887	1		
Campylobacter_volucris~GCF_000816345.1	Campylobacter_volucris	1031542	1031542	CP007774	GCF_000816345.1	eligible			Campylobacter volucris	Bacteria	1517949	1		
Candidatus_Desulforudis_audaxviator~GCF_000018425.1	Candidatus_Desulforudis_audaxviator	471827	471827	CP000860	GCF_000018425.1	eligible			Candidatus Desulforudis audaxviator	Bacteria	2349476	1		
Candidatus_Korarchaeum_cryptofilum~GCF_000019605.1	Candidatus_Korarchaeum_cryptofilum	374847	498846	CP000968	GCF_000019605.1	eligible			Candidatus Korarchaeum cryptofilum	Archaea	1590757	1		
Caulobacter_vibrioides~GCF_000022005.1	Caulobacter_vibrioides	155892	155892	CP001340	GCF_000022005.1	eligible			Caulobacter vibrioides	Bacteria	4042929	1		
Chlamydia_pneumoniae~GCF_000008745.1	Chlamydia_pneumoniae	83558	83558	AE001363	GCF_000008745.1	eligible			Chlamydia pneumoniae	Bacteria	1230230	1		
Chlamydia_psittaci~GCF_000204255.1	Chlamydia_psittaci	83554	83554	CP002586	GCF_000204255.1	eligible			Chlamydia psittaci	Bacteria	1171667	1		
Chlamydia_trachomatis~GCF_000008725.1	Chlamydia_trachomatis	813	813	AE001273	GCF_000008725.1	eligible			Chlamydia trachomatis	Bacteria	1042519	1		
Chlorobaculum_tepidum~GCF_000006985.1	Chlorobaculum_tepidum	1097	1097	AE006470	GCF_000006985.1	eligible			Chlorobaculum tepidum	Bacteria	2154946	1		
Chloroflexus_aurantiacus~GCF_000018865.1	Chloroflexus_aurantiacus	1108	1108	CP000909	GCF_000018865.1	eligible			Chloroflexus aurantiacus	Bacteria	5258541	1		
Citrobacter_amalonaticus~GCF_001558935.2	Citrobacter_amalonaticus	35703	35703	CP014070	GCF_001558935.2	eligible			Citrobacter amalonaticus	Bacteria	5030678	1		
Citrobacter_freundii~GCF_000648515.1	Citrobacter_freundii	546	546	CP007557	GCF_000648515.1	eligible			Citrobacter freundii	Bacteria	5099034	1		
Clavibacter_michiganensis_sepedonicus~GCF_000069225.1	Clavibacter_michiganensis_sepedonicus	31964	28447	AM849034	GCF_000069225.1	eligible			Clavibacter michiganensis	Bacteria	3258645	1		
Clostridioides_difficile~GCF_000009205.1	Clostridioides_difficile	1496	1496	AM180355	GCF_000009205.1	eligible			Clostridioides difficile	Bacteria	4290252	1		
Clostridium_acetobutylicum~GCF_000008765.1	Clostridium_acetobutylicum	1488	1488	AE001437	GCF_000008765.1	eligible			Clostridium acetobutylicum	Bacteria	3940880	1		
Clostridium_argentinense~GCF_002074155.1	Clostridium_argentinense	29341	29341	CP014176	GCF_002074155.1	eligible			Clostridium argentinense	Bacteria	4662988	1		
Clostridium_baratii~GCF_001991075.2	Clostridium_baratii	1561	1561	CP014204	GCF_001991075.2	eligible			Clostridium baratii	Bacteria	3091050	1		
Clostridium_botulinum_groupI~GCF_000020285.1	Clostridium_botulinum_groupI	9000005	1491	CP001078	GCF_000020285.1	eligible	B	ANI	Clostridium botulinum	Bacteria	3659644	1	confounded	confounded:Clostridium botulinum groups
Clostridium_botulinum_groupII~GCF_000019305.1	Clostridium_botulinum_groupII	9000004	1491	CP000939	GCF_000019305.1	eligible	B	ANI	Clostridium botulinum	Bacteria	3958233	1	confounded	confounded:Clostridium botulinum groups
Clostridium_butyricum~GCF_001886875.1	Clostridium_butyricum	1492	1492	CP013239	GCF_001886875.1	eligible			Clostridium butyricum	Bacteria	3809831	1		
Clostridium_perfringens~GCF_000013845.1	Clostridium_perfringens	1502	1502	CP000312	GCF_000013845.1	eligible			Clostridium perfringens	Bacteria	2897393	1		
Corynebacterium_diphtheriae~GCF_021560115.1	Corynebacterium_diphtheriae	1717	1717	CP091095	GCF_021560115.1	eligible			Corynebacterium diphtheriae	Bacteria	2385153	1		
Corynebacterium_glutamicum~GCF_000011325.1	Corynebacterium_glutamicum	1718	1718	BA000036	GCF_000011325.1	eligible			Corynebacterium glutamicum	Bacteria	3309401	1		
Corynebacterium_pseudotuberculosis~GCF_002155265.1	Corynebacterium_pseudotuberculosis	1719	1719	CP021251	GCF_002155265.1	eligible			Corynebacterium pseudotuberculosis	Bacteria	2337763	1		
Corynebacterium_urealyticum~GCF_000069945.1	Corynebacterium_urealyticum	43771	43771	AM942444	GCF_000069945.1	eligible			Corynebacterium urealyticum	Bacteria	2369219	1		
Coxiella_burnetii~GCF_000007765.2	Coxiella_burnetii	777	777	AE016828	GCF_000007765.2	eligible			Coxiella burnetii	Bacteria	1995488	1		
Cronobacter_condimenti~GCF_001277255.1	Cronobacter_condimenti	1163710	1163710	CP012264	GCF_001277255.1	eligible			Cronobacter condimenti	Bacteria	4347991	1		
Cronobacter_dublinensis_dublinensis~GCF_001277235.1	Cronobacter_dublinensis_dublinensis	413498	413497	CP012266	GCF_001277235.1	eligible			Cronobacter dublinensis	Bacteria	4431067	1		
Cronobacter_malonaticus~GCF_000504545.1	Cronobacter_malonaticus	413503	413503	CP006731	GCF_000504545.1	eligible			Cronobacter malonaticus	Bacteria	4377544	1		
Cronobacter_muytjensii~GCF_001277195.1	Cronobacter_muytjensii	413501	413501	CP012268	GCF_001277195.1	eligible			Cronobacter muytjensii	Bacteria	4364114	1		
Cronobacter_sakazakii~GCF_000982825.1	Cronobacter_sakazakii	28141	28141	CP011047	GCF_000982825.1	eligible			Cronobacter sakazakii	Bacteria	4511265	1		
Cronobacter_turicensis~GCF_000027065.2	Cronobacter_turicensis	413502	413502	FN543093	GCF_000027065.2	eligible			Cronobacter turicensis	Bacteria	4384463	1		
Cronobacter_universalis~GCF_001277175.1	Cronobacter_universalis	535744	535744	CP012257	GCF_001277175.1	eligible			Cronobacter universalis	Bacteria	4307096	1		
Cryptococcus_neoformans_var_grubii~GCF_000149245.1	Cryptococcus_neoformans_var_grubii	5207	5207	CP003820,CP003821,CP003822,CP003823,CP003824,CP003825,CP003826,CP003827,CP003828,CP003829,CP003830,CP003831,CP003832,CP003833,CP003834	GCF_000149245.1	eukaryote			Cryptococcus neoformans	Eukaryota	18916112	15		
Cryptosporidium_hominis~GCA_002223825.1	Cryptosporidium_hominis	237895	237895	LN877947,LN877948,LN877949,LN877950,LN877951,LN877952,LN877953,LN877954	GCA_002223825.1	eukaryote			Cryptosporidium hominis	Eukaryota	9043938	8		
Cryptosporidium_parvum~GCF_000165345.1	Cryptosporidium_parvum	353152	5807	CM000429,CM000430,CM000431,CM000432,CM000433,CM000434,CM000435,CM000436	GCF_000165345.1	eukaryote			Cryptosporidium parvum	Eukaryota	9102324	8		
Cupriavidus_taiwanensis~GCF_000069785.1	Cupriavidus_taiwanensis	164546	164546	CU633749,CU633750	GCF_000069785.1	eligible			Cupriavidus taiwanensis	Bacteria	5919322	2		
Cyanothece~GCF_000017845.1	Cyanothece	43989	2546360	CP000806,CP000807	GCF_000017845.1	eligible			Crocosphaera subtropica	Bacteria	5363972	2		
Deinococcus_radiodurans~GCF_000008565.1	Deinococcus_radiodurans	1299	1299	AE000513,AE001825	GCF_000008565.1	eligible			Deinococcus radiodurans	Bacteria	3060986	2		
Delftia_acidovorans~GCF_000018665.1	Delftia_acidovorans	80866	80866	CP000884	GCF_000018665.1	eligible			Delftia acidovorans	Bacteria	6767514	1		
Dictyoglomus_turgidum~GCF_000021645.1	Dictyoglomus_turgidum	513050	513050	CP001251	GCF_000021645.1	eligible			Dictyoglomus turgidum	Bacteria	1855560	1		
Dolosigranulum_pigrum~GCF_017655925.1	Dolosigranulum_pigrum	29394	29394	CP040424	GCF_017655925.1	eligible			Dolosigranulum pigrum	Bacteria	1958196	1		
Enterobacter_cloacae~GCF_000025565.1	Enterobacter_cloacae	550	550	CP001918	GCF_000025565.1	eligible			Enterobacter cloacae	Bacteria	5314581	1		
Enterococcus_faecalis~GCF_000007785.1	Enterococcus_faecalis	1351	1351	AE016830	GCF_000007785.1	eligible			Enterococcus faecalis	Bacteria	3218031	1		
Enterococcus_faecium~GCF_000174395.2	Enterococcus_faecium	1352	1352	CP003583	GCF_000174395.2	eligible			Enterococcus faecium	Bacteria	2698137	1		
Escherichia_albertii~GCF_002741375.1	Escherichia_albertii	208962	208962	CP024282	GCF_002741375.1	eligible			Escherichia albertii	Bacteria	4852165	1		
Escherichia_coli~GCF_003018575.1	Escherichia_coli	562	562	CP027582	GCF_003018575.1	eligible	A	marker	Escherichia coli	Bacteria	5680428	1	confounded	confounded:Shigella / EIEC vs Escherichia coli
Escherichia_fergusonii~GCF_008064895.1	Escherichia_fergusonii	564	564	CP042945	GCF_008064895.1	eligible			Escherichia fergusonii	Bacteria	4638019	1		
Exiguobacterium_antarcticum~GCF_000299435.1	Exiguobacterium_antarcticum	132920	132920	CP003063	GCF_000299435.1	eligible			Exiguobacterium antarcticum	Bacteria	2815863	1		
Finegoldia_magna~GCF_000010185.1	Finegoldia_magna	1260	1260	AP008971	GCF_000010185.1	eligible			Finegoldia magna	Bacteria	1797577	1		
Flavobacterium_psychrophilum~GCF_000064305.2	Flavobacterium_psychrophilum	96345	96345	AM398681	GCF_000064305.2	eligible			Flavobacterium psychrophilum	Bacteria	2860382	1		
Francisella_philomiragia~GCF_018135955.1	Francisella_philomiragia	28110	28110	CP063138	GCF_018135955.1	eligible			Francisella philomiragia	Bacteria	1964480	1		
Francisella_tularensis~GCF_000008985.1	Francisella_tularensis	263	263	AJ749949	GCF_000008985.1	eligible			Francisella tularensis	Bacteria	1892775	1		
Fusobacterium_nucleatum~GCF_003019295.1	Fusobacterium_nucleatum	851	851	CP028101	GCF_003019295.1	eligible			Fusobacterium nucleatum	Bacteria	2180101	1		
Gallus_gallus~strain-9031	Gallus_gallus	9031	9031	HQ857211	strain:9031	exclude:organelle			Gallus gallus	Eukaryota	17073	1		molecule=mitochondrion
Gardnerella_vaginalis~GCF_000159155.2	Gardnerella_vaginalis	2702	2702	CP002104	GCF_000159155.2	eligible			Gardnerella vaginalis	Bacteria	1667350	1		
Geobacter_sulfurreducens~GCF_000007985.2	Geobacter_sulfurreducens	35554	35554	AE017180	GCF_000007985.2	eligible			Geobacter sulfurreducens	Bacteria	3814128	1		
Gloeobacter_violaceus~GCF_000011385.1	Gloeobacter_violaceus	33072	33072	BA000045	GCF_000011385.1	eligible			Gloeobacter violaceus	Bacteria	4659019	1		
Grimontia_hollisae~GCF_009665295.1	Grimontia_hollisae	673	673	CP035690,CP035691	GCF_009665295.1	eligible			Grimontia hollisae	Bacteria	4130266	2		
Haemophilus_aegyptius~GCF_019930905.1	Haemophilus_aegyptius	197575	197575	CP082857	GCF_019930905.1	eligible			Haemophilus aegyptius	Bacteria	1993271	1		
Haemophilus_haemolyticus~GCF_900477945.1	Haemophilus_haemolyticus	726	726	LS483458	GCF_900477945.1	eligible			Haemophilus haemolyticus	Bacteria	1934644	1		
Haemophilus_influenzae~GCF_000027305.1	Haemophilus_influenzae	727	727	L42023	GCF_000027305.1	eligible			Haemophilus influenzae	Bacteria	1830138	1		
Haemophilus_parahaemolyticus~GCF_016889385.1	Haemophilus_parahaemolyticus	735	735	CP069510	GCF_016889385.1	eligible			Haemophilus parahaemolyticus	Bacteria	2092164	1		
Haemophilus_parainfluenzae~GCF_016127215.1	Haemophilus_parainfluenzae	729	729	CP065991	GCF_016127215.1	eligible			Haemophilus parainfluenzae	Bacteria	2141704	1		
Haemophilus_somnus~GCF_000019405.1	Haemophilus_somnus	228400	731	CP000947	GCF_000019405.1	eligible			Histophilus somni	Bacteria	2263857	1		
Halobacterium_salinarum~GCF_000069025.1	Halobacterium_salinarum	478009	2242	AM774415	GCF_000069025.1	eligible			Halobacterium salinarum	Archaea	2000962	1		
Helianthus_annuus~strain-4232	Helianthus_annuus	4232	4232	MG770607	strain:4232	exclude:organelle			Helianthus annuus	Eukaryota	316582	1		molecule=mitochondrion
Helicobacter_pylori~GCF_000008525.1	Helicobacter_pylori	210	210	AE000511	GCF_000008525.1	eligible			Helicobacter pylori	Bacteria	1667867	1		
Heliobacterium_modesticaldum~GCF_000019165.1	Heliobacterium_modesticaldum	35701	35701	CP000930	GCF_000019165.1	eligible			Heliomicrobium modesticaldum	Bacteria	3075407	1		
Homo_sapiens~GCF_000001405.14	Homo_sapiens	9606	9606	J01415	GCF_000001405.14	exclude:organelle			Homo sapiens	Eukaryota	16569	1		molecule=mitochondrion
Humulus_lupulus~strain-3486	Humulus_lupulus	3486	3486	NC_086845	strain:3486	exclude:organelle			Humulus lupulus	Eukaryota	400022	1		molecule=mitochondrion
Ketogulonicigenium_vulgare~GCF_000223375.1	Ketogulonicigenium_vulgare	92945	92945	CP002018	GCF_000223375.1	eligible			Ketogulonicigenium vulgare	Bacteria	2766400	1		
Kingella_denitrificans~GCF_016127355.1	Kingella_denitrificans	502	502	CP065999	GCF_016127355.1	eligible			Kingella denitrificans	Bacteria	2220058	1		
Klebsiella_aerogenes~GCF_000215745.1	Klebsiella_aerogenes	548	548	CP002824	GCF_000215745.1	eligible			Klebsiella aerogenes	Bacteria	5280350	1		
Klebsiella_pneumoniae~GCF_000240185.1	Klebsiella_pneumoniae	573	573	CP003200	GCF_000240185.1	eligible			Klebsiella pneumoniae	Bacteria	5333942	1		
Lactobacillus_acidophilus~GCF_000011985.1	Lactobacillus_acidophilus	1579	1579	CP000033	GCF_000011985.1	eligible			Lactobacillus acidophilus	Bacteria	1993560	1		
Lactococcus_lactis~GCF_000006865.1	Lactococcus_lactis	1358	1358	AE005176	GCF_000006865.1	eligible			Lactococcus lactis	Bacteria	2365589	1		
Lactuca_sativa~strain-75943	Lactuca_sativa	75943	75943	MK820672	strain:75943	exclude:organelle			Lactuca serriola	Eukaryota	363328	1		molecule=mitochondrion
Legionella_pneumophila~GCF_000008485.1	Legionella_pneumophila	446	446	AE017354	GCF_000008485.1	eligible			Legionella pneumophila	Bacteria	3397754	1		
Leptospira_biflexa~GCF_000017605.1	Leptospira_biflexa	355278	172	CP000777	GCF_000017605.1	eligible			Leptospira biflexa	Bacteria	3603977	1		
Leptospira_interrogans~GCF_002073495.2	Leptospira_interrogans	173	173	CP020414	GCF_002073495.2	eligible			Leptospira interrogans	Bacteria	4280582	1		
Leptothrix_cholodnii~GCF_000019785.1	Leptothrix_cholodnii	34029	34029	CP001013	GCF_000019785.1	eligible			Leptothrix cholodnii	Bacteria	4909403	1		
Leuconostoc_citreum~GCF_000026405.1	Leuconostoc_citreum	349519	33964	DQ489736	GCF_000026405.1	eligible			Leuconostoc citreum	Bacteria	1796284	1		
Listeria_grayi~GCF_900638015.1	Listeria_grayi	1641	1641	LR134483	GCF_900638015.1	eligible			Listeria grayi	Bacteria	2751104	1		
Listeria_innocua~GCF_009648575.1	Listeria_innocua	1642	1642	CP045743	GCF_009648575.1	eligible			Listeria innocua	Bacteria	2864595	1		
Listeria_ivanovii~GCF_000252975.1	Listeria_ivanovii	1638	1638	FR687253	GCF_000252975.1	eligible			Listeria ivanovii	Bacteria	2928879	1		
Listeria_marthii~GCF_000183865.1	Listeria_marthii	529731	529731	CM001047	GCF_000183865.1	eligible			Listeria marthii	Bacteria	2884551	1		
Listeria_monocytogenes_I~GCF_013282705.1	Listeria_monocytogenes_I	9000000	1639	CP054040	GCF_013282705.1	eligible	B	ANI	Listeria monocytogenes	Bacteria	2906751	1	confounded	confounded:Listeria monocytogenes lineages
Listeria_monocytogenes_II~GCF_013282685.1	Listeria_monocytogenes_II	9000001	1639	CP054042	GCF_013282685.1	eligible	B	ANI	Listeria monocytogenes	Bacteria	3017127	1	confounded	confounded:Listeria monocytogenes lineages
Listeria_monocytogenes_III~GCF_013282645.1	Listeria_monocytogenes_III	9000002	1639	CP054039	GCF_013282645.1	eligible	B	ANI	Listeria monocytogenes	Bacteria	2851005	1	confounded	confounded:Listeria monocytogenes lineages
Listeria_monocytogenes_IV~GCF_013282665.1	Listeria_monocytogenes_IV	9000003	1639	CP054041	GCF_013282665.1	eligible	B	ANI	Listeria monocytogenes	Bacteria	2788056	1	confounded	confounded:Listeria monocytogenes lineages
Listeria_seeligeri~GCF_000027145.1	Listeria_seeligeri	1640	1640	FN557490	GCF_000027145.1	eligible			Listeria seeligeri	Bacteria	2797636	1		
Listeria_welshimeri~GCF_900187315.1	Listeria_welshimeri	1643	1643	LT906444	GCF_900187315.1	eligible			Listeria welshimeri	Bacteria	2814137	1		
Lysinibacillus_sphaericus~GCF_000017965.1	Lysinibacillus_sphaericus	444177	1421	CP000817	GCF_000017965.1	eligible			Lysinibacillus sphaericus	Bacteria	4639821	1		
Measles_morbillivirus_D8~strain-170528	Measles_morbillivirus_D8	170528	3052345	PV870339	strain:170528	exclude:virus			Morbillivirus hominis	Viruses	15813	1		
Mesoplasma_florum~GCF_000008305.1	Mesoplasma_florum	2151	2151	AE017263	GCF_000008305.1	eligible			Mesoplasma florum	Bacteria	793224	1		
Mesorhizobium_ciceri~GCF_000185905.1	Mesorhizobium_ciceri	39645	39645	CP002447	GCF_000185905.1	eligible			Mesorhizobium ciceri	Bacteria	6264489	1		
Methylobacterium~GCF_000019365.1	Methylobacterium	426117	426117	CP000943	GCF_000019365.1	eligible			Methylobacterium sp. 4-46	Bacteria	7659055	1		
Methylobacterium_radiotolerans~GCF_000019725.1	Methylobacterium_radiotolerans	31998	31998	CP001001	GCF_000019725.1	eligible			Methylobacterium radiotolerans	Bacteria	6077833	1		
Micrococcus_luteus~GCF_000023205.1	Micrococcus_luteus	1270	1270	CP001628	GCF_000023205.1	eligible			Micrococcus luteus	Bacteria	2501097	1		
