unit_id	scientificName	source_lane	species_taxid	declared_species	parent_assembly	ani_match	summary_match	in_refseq	taxonomy_check	best_match_status	best_match_species	ncbi_current_species	version_status	excluded_from_refseq	relation_to_type_material	seq_rel_date	confounded	flags
Arcobacter_bivalviorum~GCF_003346815.1	Arcobacter_bivalviorum	NCBI-REF	663364	Halarcobacter bivalviorum	GCF_003346815.1	exact	exact	yes	OK	species-match	Halarcobacter bivalviorum	Halarcobacter bivalviorum	latest		assembly from type material	2018-07-31		
Arcobacter_cibarius~GCF_008808035.1	Arcobacter_cibarius	SME	255507	Aliarcobacter cibarius	GCF_008808035.1	exact	exact	yes	OK	species-match	Aliarcobacter cibarius	Aliarcobacter cibarius	latest			2019-10-03		
Arcobacter_ellisii~GCF_003544915.1	Arcobacter_ellisii	SME	913109	Arcobacter ellisii	GCF_003544915.1	exact	exact	yes	OK	species-match	Arcobacter ellisii	Arcobacter ellisii	latest		assembly from type material	2018-09-11		
Arcobacter_halophilus~GCF_003346755.1	Arcobacter_halophilus	NCBI-REF	197482	Malaciobacter halophilus	GCF_003346755.1	exact	exact	yes	OK	species-match	Malaciobacter halophilus	Malaciobacter halophilus	latest			2018-07-31		
Arcobacter_molluscorum~GCF_003544935.1	Arcobacter_molluscorum	NCBI-REF	1032072	Malaciobacter molluscorum	GCF_003544935.1	exact	exact	yes	OK	species-match	Malaciobacter molluscorum	Malaciobacter molluscorum	latest		assembly from type material	2018-09-11		
Arcobacter_mytili~GCF_003346775.1	Arcobacter_mytili	NCBI-REF	603050	Malaciobacter mytili	GCF_003346775.1	exact	exact	yes	OK	species-match	Malaciobacter mytili	Malaciobacter mytili	latest		assembly from type material	2018-07-31		
Arcobacter_skirrowii~GCF_003544835.1	Arcobacter_skirrowii	NCBI-REF	28200	Aliarcobacter skirrowii	GCF_003544835.1	exact	exact	yes	OK	species-match	Aliarcobacter skirrowii	Aliarcobacter skirrowii	latest		assembly from type material	2018-09-11		
Arcobacter_suis~GCF_003544815.1	Arcobacter_suis	NCBI-REF	1278212	Arcobacter suis	GCF_003544815.1	exact	exact	yes	OK	species-match	Arcobacter suis	Arcobacter suis	latest		assembly from type material	2018-09-11		
Arcobacter_thereius~GCF_004214815.1	Arcobacter_thereius	NCBI-REF	544718	Aliarcobacter thereius	GCF_004214815.1	exact	exact	yes	OK	species-match	Aliarcobacter thereius	Aliarcobacter thereius	latest		assembly from type material	2019-02-20		
Arcobacter_trophiarum~GCF_003355515.1	Arcobacter_trophiarum	NCBI-REF	708186	Aliarcobacter trophiarum	GCF_003355515.1	exact	exact	yes	OK	species-match	Aliarcobacter trophiarum	Aliarcobacter trophiarum	latest		assembly from type material	2018-08-06		
Atlantibacter_hermannii~GCF_008064855.1	Atlantibacter_hermannii	SME	565	Atlantibacter hermannii	GCF_008064855.1	exact	exact	yes	OK	species-match	Atlantibacter hermannii	Atlantibacter hermannii	latest			2019-08-22		
Bacillus_cereus~GCF_000283675.1	Bacillus_cereus	SME	1396	Bacillus cereus	GCF_000283675.1	exact	exact	no	Failed	mismatch	Bacillus paranthracis	Bacillus cereus	latest	unverified source organism		2011-11-28	A/marker	refseq_excluded_identity;confounded_ani_ambiguity
Bacillus_pumilus~GCF_000017885.4	Bacillus_pumilus	NCBI-REF	1408	Bacillus pumilus	GCF_000017885.4	exact	exact	yes	OK	species-match	Bacillus pumilus	Bacillus pumilus	latest			2016-03-15		
Bacillus_subtilis~GCF_000009045.1	Bacillus_subtilis	SME	1423	Bacillus subtilis	GCF_000009045.1	exact	exact	yes	OK	derived-species-match	Bacillus subtilis	Bacillus subtilis	latest		assembly from type material	2009-03-17		
Bacillus_thuringiensis~GCF_000008505.1	Bacillus_thuringiensis	SME	1428	Bacillus thuringiensis	GCF_000008505.1	exact	exact	yes	Inconclusive	below-threshold-mismatch	Bacillus anthracis	Bacillus thuringiensis	latest			2004-06-28	A/marker	confounded_ani_ambiguity
Bacteroides_fragilis~GCF_000025985.1	Bacteroides_fragilis	NCBI-REF	817	Bacteroides fragilis	GCF_000025985.1	exact	exact	yes	OK	species-match	Bacteroides fragilis	Bacteroides fragilis	latest		assembly from type material	2005-03-03		
Bacteroides_thetaiotaomicron~GCF_014131755.1	Bacteroides_thetaiotaomicron	NCBI-REF	818	Bacteroides thetaiotaomicron	GCF_014131755.1	exact	exact	yes	OK	species-match	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	latest		assembly from type material	2020-08-10		
Bartonella_bacilliformis~GCF_000015445.1	Bartonella_bacilliformis	NCBI-REF	774	Bartonella bacilliformis	GCF_000015445.1	exact	exact	yes	OK	below-threshold-mismatch	Bartonella chomelii	Bartonella bacilliformis	latest		assembly from type material	2007-01-04		best_match_species_mismatch
Bifidobacterium_bifidum~GCF_017894325.1	Bifidobacterium_bifidum	NCBI-REF	1681	Bifidobacterium bifidum	GCF_017894325.1	exact	exact	yes	OK	species-match	Bifidobacterium bifidum	Bifidobacterium bifidum	latest			2021-04-09		
Bifidobacterium_longum~GCF_000196555.1	Bifidobacterium_longum	NCBI-REF	216816	Bifidobacterium longum	GCF_000196555.1	exact	exact	yes	OK	species-match	Bifidobacterium longum	Bifidobacterium longum	latest		assembly from type material	2011-01-28		
Bordetella_bronchiseptica~GCF_900636925.1	Bordetella_bronchiseptica	NCTC3000	518	Bordetella bronchiseptica	GCF_900636925.1	exact	exact	yes	OK	species-match	Bordetella bronchiseptica	Bordetella bronchiseptica	latest			2018-12-20		
Bordetella_pertussis~GCF_001605295.1	Bordetella_pertussis	SME	520	Bordetella pertussis	GCF_001605295.1	exact	exact	yes	OK	species-match	Bordetella pertussis	Bordetella pertussis	latest			2016-03-31		
Borreliella_burgdorferi~GCF_000008685.1	Borreliella_burgdorferi	SME	139	Borreliella burgdorferi	GCF_000008685.1	version-differs	version-differs	yes	OK	species-match	Borreliella burgdorferi	Borreliella burgdorferi	latest		assembly from type material	2011-11-09		assembly_superseded
Brachybacterium_faecium~GCF_000023405.1	Brachybacterium_faecium	NCBI-REF	43669	Brachybacterium faecium	GCF_000023405.1	exact	exact	no	OK	below-threshold-mismatch	Brachybacterium vulturis	Brachybacterium faecium	latest	RefSeq annotation failed	assembly from type material	2009-08-25		best_match_species_mismatch;refseq_excluded_qc
Bradyrhizobium_diazoefficiens~GCF_000011365.1	Bradyrhizobium_diazoefficiens	NCBI-REF	1355477	Bradyrhizobium diazoefficiens	GCF_000011365.1	exact	exact	yes	OK	species-match	Bradyrhizobium diazoefficiens	Bradyrhizobium diazoefficiens	latest		assembly from type material	2004-05-11		
Buchnera_aphidicola~GCF_000009605.1	Buchnera_aphidicola	NCBI-REF	9	Buchnera aphidicola	GCF_000009605.1	exact	exact	yes	Inconclusive	below-threshold-match	Buchnera aphidicola	Buchnera aphidicola	latest			2004-05-11		tax_check_inconclusive
Burkholderia_pseudomallei~GCF_000011545.1	Burkholderia_pseudomallei	SME	28450	Burkholderia pseudomallei	GCF_000011545.1	exact	exact	yes	OK	species-match	Burkholderia pseudomallei	Burkholderia pseudomallei	latest			2004-09-16		
Campylobacter_avium~GCF_002238335.1	Campylobacter_avium	NCBI-REF	522485	Campylobacter avium	GCF_002238335.1	exact	exact	yes	OK	low-coverage	Campylobacter troglodytis	Campylobacter avium	latest		assembly from type material	2017-08-01		best_match_species_mismatch
Campylobacter_coli~GCF_003030205.1	Campylobacter_coli	SME	195	Campylobacter coli	GCF_003030205.1	exact	exact	yes	OK	species-match	Campylobacter coli	Campylobacter coli	latest			2018-04-02		
Campylobacter_concisus~GCF_001298465.1	Campylobacter_concisus	SME	199	Campylobacter concisus	GCF_001298465.1	exact	exact	yes	OK	low-coverage	Campylobacter showae	Campylobacter concisus	latest		assembly from type material	2015-09-24		best_match_species_mismatch
Campylobacter_cuniculorum~GCF_002104335.1	Campylobacter_cuniculorum	SME	374106	Campylobacter cuniculorum	GCF_002104335.1	exact	exact	yes	OK	species-match	Campylobacter cuniculorum	Campylobacter cuniculorum	latest		assembly from type material	2017-04-21		
Campylobacter_fetus~GCF_000495505.1	Campylobacter_fetus	SME	196	Campylobacter fetus	GCF_000495505.1	exact	exact	no	Inconclusive	below-threshold-match	Campylobacter fetus	Campylobacter fetus	latest	unverified source organism; not used as type		2013-11-05		tax_check_inconclusive;refseq_excluded_identity
Campylobacter_gracilis~GCF_001190745.1	Campylobacter_gracilis	SME	824	Campylobacter gracilis	GCF_001190745.1	exact	exact	yes	OK	species-match	Campylobacter gracilis	Campylobacter gracilis	latest		assembly from type material	2015-08-03		
Campylobacter_helveticus~GCF_002080395.1	Campylobacter_helveticus	SME	28898	Campylobacter helveticus	GCF_002080395.1	exact	exact	yes	OK	species-match	Campylobacter helveticus	Campylobacter helveticus	latest		assembly from type material	2017-04-06		
Campylobacter_hyointestinalis_hyointestinalis~GCF_001643955.1	Campylobacter_hyointestinalis_hyointestinalis;Campylobacter_hyointestinalis_lawsonii	SME	198	Campylobacter hyointestinalis	GCF_001643955.1	exact	exact	yes	OK	derived-species-match	Campylobacter hyointestinalis	Campylobacter hyointestinalis	latest			2016-05-16		
Campylobacter_insulaenigrae~GCF_000816185.1	Campylobacter_insulaenigrae	SME	260714	Campylobacter insulaenigrae	GCF_000816185.1	exact	exact	yes	OK	species-match	Campylobacter insulaenigrae	Campylobacter insulaenigrae	latest		assembly from type material	2015-01-07		
Campylobacter_jejuni_jejuni~GCF_000009085.1	Campylobacter_jejuni_jejuni	SME	197	Campylobacter jejuni	GCF_000009085.1	exact	exact	yes	OK	derived-species-match	Campylobacter jejuni	Campylobacter jejuni	latest			2003-05-06		
Campylobacter_lanienae~GCF_002139935.1	Campylobacter_lanienae	SME	75658	Campylobacter lanienae	GCF_002139935.1	exact	exact	yes	OK	below-threshold-mismatch	Campylobacter devanensis	Campylobacter lanienae	latest		assembly from type material	2017-05-15		best_match_species_mismatch
Campylobacter_lari~GCF_000019205.1	Campylobacter_lari	SME	201	Campylobacter lari	GCF_000019205.1	exact	exact	yes	OK	species-match	Campylobacter lari	Campylobacter lari	latest			2009-02-05		
Campylobacter_peloridis~GCF_000816785.1	Campylobacter_peloridis	SME	488546	Campylobacter peloridis	GCF_000816785.1	exact	exact	yes	OK	below-threshold-mismatch	Campylobacter ornithocola	Campylobacter peloridis	latest		assembly from type material	2015-01-07		best_match_species_mismatch
Campylobacter_sputorum~GCF_002220735.1	Campylobacter_sputorum	SME	206	Campylobacter sputorum	GCF_002220735.1	exact	exact	yes	OK	derived-species-match	Campylobacter sputorum	Campylobacter sputorum	latest			2017-07-18		
Campylobacter_subantarcticus~GCF_000816265.1	Campylobacter_subantarcticus	SME	497724	Campylobacter subantarcticus	GCF_000816265.1	exact	exact	yes	OK	species-match	Campylobacter subantarcticus	Campylobacter subantarcticus	latest			2015-01-07		
Campylobacter_ureolyticus~GCF_001190755.1	Campylobacter_ureolyticus	SME	827	Campylobacter ureolyticus	GCF_001190755.1	exact	exact	yes	OK	species-match	Campylobacter ureolyticus	Campylobacter ureolyticus	latest			2015-08-03		
Campylobacter_volucris~GCF_000816345.1	Campylobacter_volucris	SME	1031542	Campylobacter volucris	GCF_000816345.1	exact	exact	yes	OK	species-match	Campylobacter volucris	Campylobacter volucris	latest			2015-01-07		
Candidatus_Desulforudis_audaxviator~GCF_000018425.1	Candidatus_Desulforudis_audaxviator	NCBI-REF	471827	Candidatus Desulforudis audaxviator	GCF_000018425.1	exact	exact	yes	OK	species-match	Desulforudis audaxviator	Desulforudis audaxviator	latest		assembly from type material	2008-03-06		
Candidatus_Korarchaeum_cryptofilum~GCF_000019605.1	Candidatus_Korarchaeum_cryptofilum	NCBI-REF	498846	Candidatus Korarchaeum cryptofilum	GCF_000019605.1	exact	exact	yes	Inconclusive	low-coverage	Aeropyrum pernix	Candidatus Korarchaeum cryptofilum	latest			2008-03-18		tax_check_inconclusive;best_match_species_mismatch
Caulobacter_vibrioides~GCF_000022005.1	Caulobacter_vibrioides	NCBI-REF	155892	Caulobacter vibrioides	GCF_000022005.1	exact	exact	yes	OK	species-match	Caulobacter vibrioides	Caulobacter vibrioides	latest			2009-01-16		
Chlamydia_pneumoniae~GCF_000008745.1	Chlamydia_pneumoniae	NCBI-REF	83558	Chlamydia pneumoniae	GCF_000008745.1	exact	exact	yes	OK	species-match	Chlamydia pneumoniae	Chlamydia pneumoniae	latest			1999-12-22		
Chlamydia_psittaci~GCF_000204255.1	Chlamydia_psittaci	NCBI-REF	83554	Chlamydia psittaci	GCF_000204255.1	exact	exact	yes	OK	species-match	Chlamydia psittaci	Chlamydia psittaci	latest		assembly from type material	2011-04-14		
Chlamydia_trachomatis~GCF_000008725.1	Chlamydia_trachomatis	NCBI-REF	813	Chlamydia trachomatis	GCF_000008725.1	exact	exact	yes	OK	species-match	Chlamydia trachomatis	Chlamydia trachomatis	latest			2001-01-09		
Chlorobaculum_tepidum~GCF_000006985.1	Chlorobaculum_tepidum	NCBI-REF	1097	Chlorobaculum tepidum	GCF_000006985.1	exact	exact	yes	OK	below-threshold-mismatch	Chlorobaculum thiosulfatiphilum	Chlorobaculum tepidum	latest		assembly from type material	2002-07-02		best_match_species_mismatch
Chloroflexus_aurantiacus~GCF_000018865.1	Chloroflexus_aurantiacus	NCBI-REF	1108	Chloroflexus aurantiacus	GCF_000018865.1	exact	exact	yes	OK	low-coverage	Candidatus Chloroploca mongolica	Chloroflexus aurantiacus	latest		assembly from type material	2007-12-20		best_match_species_mismatch
Citrobacter_amalonaticus~GCF_001558935.2	Citrobacter_amalonaticus	FDA-ARGOS	35703	Citrobacter amalonaticus	GCF_001558935.2	exact	exact	yes	OK	species-match	Citrobacter amalonaticus	Citrobacter amalonaticus	latest			2018-02-12		
Citrobacter_freundii~GCF_000648515.1	Citrobacter_freundii	SME	546	Citrobacter freundii	GCF_000648515.1	exact	exact	no	Failed	mismatch	Citrobacter cronae	Citrobacter freundii	latest	unverified source organism		2014-04-28		tax_check_failed;best_match_species_mismatch;refseq_excluded_identity
Clavibacter_michiganensis_sepedonicus~GCF_000069225.1	Clavibacter_michiganensis_sepedonicus	NCBI-REF	28447	Clavibacter michiganensis	GCF_000069225.1	exact	exact	yes	OK	species-match	Clavibacter sepedonicus	Clavibacter sepedonicus	latest		assembly from type material	2008-02-29		best_match_species_mismatch;ncbi_reclassified
Clostridioides_difficile~GCF_000009205.1	Clostridioides_difficile	SME	1496	Clostridioides difficile	GCF_000009205.1	version-differs	version-differs	yes	OK	species-match	Clostridioides difficile	Clostridioides difficile	latest			2017-09-29		assembly_superseded
Clostridium_acetobutylicum~GCF_000008765.1	Clostridium_acetobutylicum	SME	1488	Clostridium acetobutylicum	GCF_000008765.1	exact	exact	yes	OK	below-threshold-mismatch	Clostridium felsineum	Clostridium acetobutylicum	latest		assembly from type material	2002-11-22		best_match_species_mismatch
Clostridium_argentinense~GCF_002074155.1	Clostridium_argentinense	SME	29341	Clostridium argentinense	GCF_002074155.1	exact	exact	yes	Inconclusive	below-threshold-mismatch	Clostridium faecium	Clostridium argentinense	latest			2017-03-29		tax_check_inconclusive;best_match_species_mismatch
Clostridium_baratii~GCF_001991075.2	Clostridium_baratii	SME	1561	Clostridium baratii	GCF_001991075.2	exact	exact	yes	OK	species-match	Clostridium baratii	Clostridium baratii	latest			2018-05-01		
Clostridium_botulinum_groupI~GCF_000020285.1	Clostridium_botulinum_groupI	SME	1491	Clostridium botulinum	GCF_000020285.1	exact	exact	yes	Inconclusive	below-threshold-mismatch	Clostridium caccae	Clostridium botulinum	latest			2008-05-16	B/ANI	confounded_ani_ambiguity
Clostridium_botulinum_groupII~GCF_000019305.1	Clostridium_botulinum_groupII	SME	1491	Clostridium botulinum	GCF_000019305.1	exact	exact	yes	OK	species-match	Clostridium botulinum	Clostridium botulinum	latest			2008-02-28	B/ANI	
Clostridium_butyricum~GCF_001886875.1	Clostridium_butyricum	SME	1492	Clostridium butyricum	GCF_001886875.1	exact	exact	yes	OK	species-match	Clostridium butyricum	Clostridium butyricum	latest			2016-11-28		
Clostridium_perfringens~GCF_000013845.1	Clostridium_perfringens	SME	1502	Clostridium perfringens	GCF_000013845.1	version-differs	version-differs	yes	OK	species-match	Clostridium perfringens	Clostridium perfringens	latest			2006-07-26		assembly_superseded
Corynebacterium_diphtheriae~GCF_021560115.1	Corynebacterium_diphtheriae	NCBI-REF	1717	Corynebacterium diphtheriae	GCF_021560115.1	exact	exact	yes	OK	derived-species-match	Corynebacterium diphtheriae	Corynebacterium diphtheriae	latest			2022-01-24		
Corynebacterium_glutamicum~GCF_000011325.1	Corynebacterium_glutamicum	NCBI-REF	1718	Corynebacterium glutamicum	GCF_000011325.1	exact	exact	yes	OK	species-match	Corynebacterium glutamicum	Corynebacterium glutamicum	latest		assembly from type material	2004-02-18		
Corynebacterium_pseudotuberculosis~GCF_002155265.1	Corynebacterium_pseudotuberculosis	NCBI-REF	1719	Corynebacterium pseudotuberculosis	GCF_002155265.1	exact	exact	yes	OK	species-match	Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis	latest		assembly from type material	2017-05-22		
Corynebacterium_urealyticum~GCF_000069945.1	Corynebacterium_urealyticum	NCBI-REF	43771	Corynebacterium urealyticum	GCF_000069945.1	exact	exact	yes	OK	species-match	Corynebacterium urealyticum	Corynebacterium urealyticum	latest		assembly from type material	2008-04-02		
Coxiella_burnetii~GCF_000007765.2	Coxiella_burnetii	NCBI-REF	777	Coxiella burnetii	GCF_000007765.2	exact	exact	yes	OK	species-match	Coxiella burnetii	Coxiella burnetii	latest			2016-11-10		
Cronobacter_condimenti~GCF_001277255.1	Cronobacter_condimenti	NCBI-REF	1163710	Cronobacter condimenti	GCF_001277255.1	exact	exact	yes	OK	species-match	Cronobacter condimenti	Cronobacter condimenti	latest		assembly from type material	2015-09-01		
Cronobacter_dublinensis_dublinensis~GCF_001277235.1	Cronobacter_dublinensis_dublinensis	NCBI-REF	413497	Cronobacter dublinensis	GCF_001277235.1	exact	exact	yes	OK	derived-species-match	Cronobacter dublinensis	Cronobacter dublinensis	latest		assembly from type material	2015-09-01		
Cronobacter_malonaticus~GCF_000504545.1	Cronobacter_malonaticus	NCBI-REF	413503	Cronobacter malonaticus	GCF_000504545.1	exact	exact	yes	OK	species-match	Cronobacter malonaticus	Cronobacter malonaticus	latest			2013-12-09		
Cronobacter_muytjensii~GCF_001277195.1	Cronobacter_muytjensii	NCBI-REF	413501	Cronobacter muytjensii	GCF_001277195.1	exact	exact	yes	OK	species-match	Cronobacter muytjensii	Cronobacter muytjensii	latest		assembly from type material	2015-09-01		
Cronobacter_sakazakii~GCF_000982825.1	Cronobacter_sakazakii	NCBI-REF	28141	Cronobacter sakazakii	GCF_000982825.1	exact	exact	yes	OK	species-match	Cronobacter sakazakii	Cronobacter sakazakii	latest		assembly from type material	2015-04-30		
Cronobacter_turicensis~GCF_000027065.2	Cronobacter_turicensis	NCBI-REF	413502	Cronobacter turicensis	GCF_000027065.2	exact	exact	no	OK	species-match	Cronobacter turicensis	Cronobacter turicensis	latest	missing strain identifier		2011-02-17		refseq_excluded_qc
Cronobacter_universalis~GCF_001277175.1	Cronobacter_universalis	NCBI-REF	535744	Cronobacter universalis	GCF_001277175.1	exact	exact	yes	OK	species-match	Cronobacter universalis	Cronobacter universalis	latest		assembly from type material	2015-09-01		
Cupriavidus_taiwanensis~GCF_000069785.1	Cupriavidus_taiwanensis	NCBI-REF	164546	Cupriavidus taiwanensis	GCF_000069785.1	exact	exact	yes	OK	species-match	Cupriavidus taiwanensis	Cupriavidus taiwanensis	latest		assembly from type material	2008-03-27		
Cyanothece~GCF_000017845.1	Cyanothece	NCBI-REF	2546360	Crocosphaera subtropica	GCF_000017845.1	exact	exact	yes	OK	below-threshold-mismatch	Crocosphaera chwakensis	Crocosphaera subtropica	latest		assembly from type material	2008-04-01		best_match_species_mismatch
Deinococcus_radiodurans~GCF_000008565.1	Deinococcus_radiodurans	NCBI-REF	1299	Deinococcus radiodurans	GCF_000008565.1	exact	exact	yes	OK	species-match	Deinococcus radiodurans	Deinococcus radiodurans	latest		assembly from type material	2000-12-11		
Delftia_acidovorans~GCF_000018665.1	Delftia_acidovorans	NCBI-REF	80866	Delftia acidovorans	GCF_000018665.1	exact	exact	yes	OK	species-match	Delftia acidovorans	Delftia acidovorans	latest			2007-11-16		
Dictyoglomus_turgidum~GCF_000021645.1	Dictyoglomus_turgidum	NCBI-REF	513050	Dictyoglomus turgidum	GCF_000021645.1	exact	exact	yes	OK	below-threshold-mismatch	Dictyoglomus thermophilum	Dictyoglomus turgidum	latest		assembly from type material	2008-12-12		best_match_species_mismatch
Dolosigranulum_pigrum~GCF_017655925.1	Dolosigranulum_pigrum	NCBI-REF	29394	Dolosigranulum pigrum	GCF_017655925.1	exact	exact	yes	OK	species-match	Dolosigranulum pigrum	Dolosigranulum pigrum	latest			2021-04-01		
Enterobacter_cloacae~GCF_000025565.1	Enterobacter_cloacae	NCBI-REF	550	Enterobacter cloacae	GCF_000025565.1	exact	exact	yes	OK	species-match	Enterobacter cloacae	Enterobacter cloacae	latest		assembly from type material	2010-04-23		
Enterococcus_faecalis~GCF_000007785.1	Enterococcus_faecalis	NCBI-REF	1351	Enterococcus faecalis	GCF_000007785.1	exact	exact	yes	OK	species-match	Enterococcus faecalis	Enterococcus faecalis	latest			2003-03-28		
Enterococcus_faecium~GCF_000174395.2	Enterococcus_faecium	NCBI-REF	1352	Enterococcus faecium	GCF_000174395.2	exact	exact	yes	OK	species-match	Enterococcus faecium	Enterococcus faecium	latest			2012-05-25		
Escherichia_albertii~GCF_002741375.1	Escherichia_albertii	SME	208962	Escherichia albertii	GCF_002741375.1	exact	exact	yes	OK	species-match	Escherichia albertii	Escherichia albertii	latest			2017-11-02		
Escherichia_coli~GCF_003018575.1	Escherichia_coli	SME	562	Escherichia coli	GCF_003018575.1	exact	exact	yes	OK	species-match	Escherichia coli	Escherichia coli	latest			2018-03-26	A/marker	
Escherichia_fergusonii~GCF_008064895.1	Escherichia_fergusonii	SME	564	Escherichia fergusonii	GCF_008064895.1	exact	exact	yes	OK	species-match	Escherichia fergusonii	Escherichia fergusonii	latest			2019-08-22		
Exiguobacterium_antarcticum~GCF_000299435.1	Exiguobacterium_antarcticum	NCBI-REF	132920	Exiguobacterium antarcticum	GCF_000299435.1	exact	exact	yes	OK	species-match	Exiguobacterium antarcticum	Exiguobacterium antarcticum	latest			2012-09-27		
Finegoldia_magna~GCF_000010185.1	Finegoldia_magna	NCBI-REF	1260	Finegoldia magna	GCF_000010185.1	exact	exact	yes	Inconclusive	below-threshold-match	Finegoldia magna	Finegoldia magna	latest			2008-02-14		tax_check_inconclusive
Flavobacterium_psychrophilum~GCF_000064305.2	Flavobacterium_psychrophilum	NCBI-REF	96345	Flavobacterium psychrophilum	GCF_000064305.2	exact	exact	yes	OK	species-match	Flavobacterium psychrophilum	Flavobacterium psychrophilum	latest			2013-05-30		
Francisella_philomiragia~GCF_018135955.1	Francisella_philomiragia	NCBI-REF	28110	Francisella philomiragia	GCF_018135955.1	exact	exact	yes	OK	species-match	Francisella philomiragia	Francisella philomiragia	latest			2021-04-23		
Francisella_tularensis~GCF_000008985.1	Francisella_tularensis	NCBI-REF	263	Francisella tularensis	GCF_000008985.1	exact	exact	yes	OK	derived-species-match	Francisella tularensis	Francisella tularensis	latest			2009-06-18		
Fusobacterium_nucleatum~GCF_003019295.1	Fusobacterium_nucleatum	SME	851	Fusobacterium nucleatum	GCF_003019295.1	exact	exact	yes	OK	species-match	Fusobacterium nucleatum	Fusobacterium nucleatum	latest		assembly from type material	2018-03-26		
Gardnerella_vaginalis~GCF_000159155.2	Gardnerella_vaginalis	NCBI-REF	2702	Gardnerella vaginalis	GCF_000159155.2	exact	exact	yes	OK	species-match	Gardnerella vaginalis	Gardnerella vaginalis	latest			2010-11-03		
Geobacter_sulfurreducens~GCF_000007985.2	Geobacter_sulfurreducens	NCBI-REF	35554	Geobacter sulfurreducens	GCF_000007985.2	exact	exact	yes	Inconclusive	below-threshold-match	Geobacter sulfurreducens	Geobacter sulfurreducens	latest		assembly from type material	2012-07-31		tax_check_inconclusive
Gloeobacter_violaceus~GCF_000011385.1	Gloeobacter_violaceus	NCBI-REF	33072	Gloeobacter violaceus	GCF_000011385.1	exact	exact	yes	OK	below-threshold-mismatch	Gloeobacter morelensis	Gloeobacter violaceus	latest		assembly from type material	2003-10-03		best_match_species_mismatch
Grimontia_hollisae~GCF_009665295.1	Grimontia_hollisae	SME	673	Grimontia hollisae	GCF_009665295.1	exact	exact	yes	OK	species-match	Grimontia hollisae	Grimontia hollisae	latest			2019-11-18		
Haemophilus_aegyptius~GCF_019930905.1	Haemophilus_aegyptius	FDA-ARGOS	197575	Haemophilus aegyptius	GCF_019930905.1	exact	exact	yes	OK	species-match	Haemophilus aegyptius	Haemophilus aegyptius	latest		assembly from type material	2021-09-12		
